Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.001
Horizontal Delay,-0.0016
Sample Interval,1e-05
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Vertical Position,-0.02
,
,
,
Label,
TIME,CH2
-6.60e-03,0.076
-6.59e-03,0.044
-6.58e-03,-0.1
-6.57e-03,0.1
-6.56e-03,0.068
-6.55e-03,-0.092
-6.54e-03,-0.076
-6.53e-03,0.052
-6.52e-03,0.052
-6.51e-03,0.036
-6.50e-03,-0.124
-6.49e-03,-0.028
-6.48e-03,-0.084
-6.47e-03,-0.108
-6.46e-03,0.204
-6.45e-03,-0.06
-6.44e-03,0.06
-6.43e-03,0.068
-6.42e-03,-0.02
-6.41e-03,-0.052
-6.40e-03,-0.004
-6.39e-03,-0.084
-6.38e-03,-0.06
-6.37e-03,0.092
-6.36e-03,-0.036
-6.35e-03,0.068
-6.34e-03,-0.02
-6.33e-03,0.06
-6.32e-03,0.028
-6.31e-03,-0.108
-6.30e-03,-0.004
-6.29e-03,-0.108
-6.28e-03,0.036
-6.27e-03,-0.012
-6.26e-03,-0.076
-6.25e-03,-0.004
-6.24e-03,0.028
-6.23e-03,-0.052
-6.22e-03,-0.004
-6.21e-03,-0.092
-6.20e-03,0.02
-6.19e-03,-0.052
-6.18e-03,-0.1
-6.17e-03,0.012
-6.16e-03,-0.004
-6.15e-03,0.012
-6.14e-03,-0.004
-6.13e-03,0.02
-6.12e-03,-0.06
-6.11e-03,-0.092
-6.10e-03,0.14
-6.09e-03,0.004
-6.08e-03,0.068
-6.07e-03,-0.028
-6.06e-03,0.036
-6.05e-03,-0.004
-6.04e-03,-0.012
-6.03e-03,0.1
-6.02e-03,0.004
-6.01e-03,0.036
-6.00e-03,0.052
-5.99e-03,0.02
-5.98e-03,0.18
-5.97e-03,-0.012
-5.96e-03,-0.004
-5.95e-03,0.012
-5.94e-03,0.148
-5.93e-03,-0.028
-5.92e-03,-0.172
-5.91e-03,-0.02
-5.90e-03,-0.1
-5.89e-03,-0.004
-5.88e-03,0.124
-5.87e-03,0.108
-5.86e-03,0.092
-5.85e-03,-0.052
-5.84e-03,-0.004
-5.83e-03,-0.1
-5.82e-03,0.004
-5.81e-03,-0.004
-5.80e-03,-0.1
-5.79e-03,0.06
-5.78e-03,-0.028
-5.77e-03,-0.004
-5.76e-03,-0.18
-5.75e-03,-0.036
-5.74e-03,0.108
-5.73e-03,-0.004
-5.72e-03,0.02
-5.71e-03,-0.044
-5.70e-03,0.036
-5.69e-03,-0.028
-5.68e-03,0.004
-5.67e-03,-0.028
-5.66e-03,0.076
-5.65e-03,-0.012
-5.64e-03,-0.012
-5.63e-03,0.108
-5.62e-03,-0.028
-5.61e-03,0.084
-5.60e-03,0.02
-5.59e-03,-0.052
-5.58e-03,-0.052
-5.57e-03,-0.052
-5.56e-03,0.052
-5.55e-03,-0.036
-5.54e-03,-0.004
-5.53e-03,0.084
-5.52e-03,-0.02
-5.51e-03,-0.004
-5.50e-03,-0.068
-5.49e-03,-0.012
-5.48e-03,0.076
-5.47e-03,-0.004
-5.46e-03,0.044
-5.45e-03,0.044
-5.44e-03,-0.004
-5.43e-03,-0.044
-5.42e-03,-0.1
-5.41e-03,0.012
-5.40e-03,-0.036
-5.39e-03,-0.044
-5.38e-03,-0.036
-5.37e-03,-0.036
-5.36e-03,-0.02
-5.35e-03,-0.004
-5.34e-03,0.044
-5.33e-03,-0.02
-5.32e-03,0.012
-5.31e-03,0.012
-5.30e-03,-0.044
-5.29e-03,-0.004
-5.28e-03,-0.148
-5.27e-03,0.028
-5.26e-03,0.108
-5.25e-03,-0.068
-5.24e-03,0.068
-5.23e-03,0.132
-5.22e-03,0.06
-5.21e-03,-0.084
-5.20e-03,0.06
-5.19e-03,-0.036
-5.18e-03,-0.052
-5.17e-03,0.068
-5.16e-03,0.076
-5.15e-03,-0.028
-5.14e-03,0.076
-5.13e-03,0.068
-5.12e-03,-0.116
-5.11e-03,0.084
-5.10e-03,0.028
-5.09e-03,-0.012
-5.08e-03,-0.012
-5.07e-03,-0.052
-5.06e-03,0.044
-5.05e-03,0.132
-5.04e-03,0.116
-5.03e-03,0.084
-5.02e-03,-0.06
-5.01e-03,-0.036
-5.00e-03,-0.028
-4.99e-03,-0.02
-4.98e-03,0.052
-4.97e-03,-0.028
-4.96e-03,-0.02
-4.95e-03,-0.068
-4.94e-03,-0.068
-4.93e-03,-0.012
-4.92e-03,-0.02
-4.91e-03,-0.036
-4.90e-03,-0.004
-4.89e-03,-0.052
-4.88e-03,-0.036
-4.87e-03,0.052
-4.86e-03,-0.028
-4.85e-03,-0.052
-4.84e-03,0.068
-4.83e-03,0.132
-4.82e-03,-0.02
-4.81e-03,0.124
-4.80e-03,0.004
-4.79e-03,0.076
-4.78e-03,-0.004
-4.77e-03,-0.004
-4.76e-03,-0.108
-4.75e-03,0.108
-4.74e-03,-0.036
-4.73e-03,-0.092
-4.72e-03,-0.02
-4.71e-03,-0.108
-4.70e-03,0.18
-4.69e-03,0.028
-4.68e-03,-0.036
-4.67e-03,-0.012
-4.66e-03,0.108
-4.65e-03,-0.06
-4.64e-03,-0.012
-4.63e-03,-0.044
-4.62e-03,0.052
-4.61e-03,0.06
-4.60e-03,-0.02
-4.59e-03,-0.012
-4.58e-03,-0.052
-4.57e-03,0.044
-4.56e-03,-0.068
-4.55e-03,0.084
-4.54e-03,-0.108
-4.53e-03,0.1
-4.52e-03,0.004
-4.51e-03,-0.02
-4.50e-03,0.036
-4.49e-03,-0.228
-4.48e-03,0.044
-4.47e-03,0.068
-4.46e-03,-0.052
-4.45e-03,-0.036
-4.44e-03,0.068
-4.43e-03,-0.108
-4.42e-03,0.044
-4.41e-03,0.068
-4.40e-03,0.068
-4.39e-03,-0.02
-4.38e-03,-0.076
-4.37e-03,-0.06
-4.36e-03,0.14
-4.35e-03,-0.092
-4.34e-03,0.108
-4.33e-03,-0.028
-4.32e-03,0.06
-4.31e-03,-0.012
-4.30e-03,-0.076
-4.29e-03,0.092
-4.28e-03,0.116
-4.27e-03,-0.044
-4.26e-03,-0.084
-4.25e-03,0.02
-4.24e-03,-0.076
-4.23e-03,-0.148
-4.22e-03,0.004
-4.21e-03,0.02
-4.20e-03,0.06
-4.19e-03,0.004
-4.18e-03,0.012
-4.17e-03,-0.084
-4.16e-03,-0.012
-4.15e-03,0.076
-4.14e-03,0.044
-4.13e-03,-0.044
-4.12e-03,-0.004
-4.11e-03,-0.044
-4.10e-03,-0.06
-4.09e-03,-0.052
-4.08e-03,0.012
-4.07e-03,-0.004
-4.06e-03,0.084
-4.05e-03,-0.028
-4.04e-03,0.004
-4.03e-03,-0.068
-4.02e-03,-0.036
-4.01e-03,0.108
-4.00e-03,0.124
-3.99e-03,0.052
-3.98e-03,0.004
-3.97e-03,0.092
-3.96e-03,-0.004
-3.95e-03,-0.012
-3.94e-03,0.012
-3.93e-03,0.124
-3.92e-03,-0.148
-3.91e-03,-0.068
-3.90e-03,-0.044
-3.89e-03,-0.02
-3.88e-03,-0.004
-3.87e-03,-0.02
-3.86e-03,0.084
-3.85e-03,-0.012
-3.84e-03,-0.052
-3.83e-03,0.004
-3.82e-03,-0.028
-3.81e-03,0.004
-3.80e-03,0.076
-3.79e-03,-0.044
-3.78e-03,-0.036
-3.77e-03,-0.012
-3.76e-03,-0.012
-3.75e-03,-0.012
-3.74e-03,-0.028
-3.73e-03,-0.004
-3.72e-03,0.036
-3.71e-03,0.124
-3.70e-03,0.076
-3.69e-03,0.1
-3.68e-03,0.084
-3.67e-03,-0.012
-3.66e-03,-0.012
-3.65e-03,-0.028
-3.64e-03,-0.004
-3.63e-03,-0.052
-3.62e-03,0.052
-3.61e-03,-0.012
-3.60e-03,-0.14
-3.59e-03,0.1
-3.58e-03,-0.06
-3.57e-03,-0.004
-3.56e-03,0.004
-3.55e-03,0.06
-3.54e-03,-0.1
-3.53e-03,0.012
-3.52e-03,0.052
-3.51e-03,0.076
-3.50e-03,-0.108
-3.49e-03,0.028
-3.48e-03,0.068
-3.47e-03,0.092
-3.46e-03,0.044
-3.45e-03,0.036
-3.44e-03,-0.052
-3.43e-03,0.012
-3.42e-03,-0.1
-3.41e-03,0.028
-3.40e-03,0.004
-3.39e-03,-0.084
-3.38e-03,0.004
-3.37e-03,-0.028
-3.36e-03,0.132
-3.35e-03,0.02
-3.34e-03,0.028
-3.33e-03,0.012
-3.32e-03,0.036
-3.31e-03,0.004
-3.30e-03,0.012
-3.29e-03,0.02
-3.28e-03,0.06
-3.27e-03,-0.14
-3.26e-03,-0.068
-3.25e-03,0.068
-3.24e-03,0.156
-3.23e-03,0.004
-3.22e-03,-0.036
-3.21e-03,0.036
-3.20e-03,0.036
-3.19e-03,0.004
-3.18e-03,0.02
-3.17e-03,0.036
-3.16e-03,0.012
-3.15e-03,-0.004
-3.14e-03,0.18
-3.13e-03,-0.036
-3.12e-03,-0.004
-3.11e-03,0.028
-3.10e-03,0.02
-3.09e-03,0.044
-3.08e-03,-0.124
-3.07e-03,-0.068
-3.06e-03,0.012
-3.05e-03,-0.1
-3.04e-03,-0.092
-3.03e-03,-0.06
-3.02e-03,0.02
-3.01e-03,0.044
-3.00e-03,0.02
-2.99e-03,0.036
-2.98e-03,-0.084
-2.97e-03,-0.02
-2.96e-03,0.076
-2.95e-03,0.004
-2.94e-03,0.044
-2.93e-03,0.012
-2.92e-03,0.044
-2.91e-03,0.02
-2.90e-03,0.02
-2.89e-03,0.028
-2.88e-03,-0.044
-2.87e-03,-0.004
-2.86e-03,0.052
-2.85e-03,-0.044
-2.84e-03,0.028
-2.83e-03,0.02
-2.82e-03,0.012
-2.81e-03,0.068
-2.80e-03,-0.076
-2.79e-03,0.044
-2.78e-03,-0.036
-2.77e-03,0.052
-2.76e-03,-0.012
-2.75e-03,0.044
-2.74e-03,0.044
-2.73e-03,0.044
-2.72e-03,-0.004
-2.71e-03,0.044
-2.70e-03,-0.028
-2.69e-03,-0.012
-2.68e-03,0.18
-2.67e-03,-0.068
-2.66e-03,-0.02
-2.65e-03,0.044
-2.64e-03,0.028
-2.63e-03,-0.084
-2.62e-03,0.004
-2.61e-03,0.06
-2.60e-03,0.14
-2.59e-03,0.06
-2.58e-03,0.052
-2.57e-03,0.068
-2.56e-03,0.036
-2.55e-03,-0.02
-2.54e-03,0.1
-2.53e-03,0.076
-2.52e-03,0.036
-2.51e-03,0.1
-2.50e-03,-0.06
-2.49e-03,-0.004
-2.48e-03,0.092
-2.47e-03,0.02
-2.46e-03,-0.052
-2.45e-03,0.044
-2.44e-03,0.06
-2.43e-03,0.068
-2.42e-03,0.084
-2.41e-03,-0.06
-2.40e-03,0.108
-2.39e-03,-0.052
-2.38e-03,0.108
-2.37e-03,0.132
-2.36e-03,-0.068
-2.35e-03,-0.06
-2.34e-03,0.068
-2.33e-03,-0.004
-2.32e-03,-0.06
-2.31e-03,-0.028
-2.30e-03,-0.1
-2.29e-03,0.124
-2.28e-03,0.068
-2.27e-03,-0.012
-2.26e-03,-0.084
-2.25e-03,-0.004
-2.24e-03,0.1
-2.23e-03,0.052
-2.22e-03,0.108
-2.21e-03,0.044
-2.20e-03,-0.028
-2.19e-03,0.148
-2.18e-03,0.012
-2.17e-03,-0.02
-2.16e-03,-0.052
-2.15e-03,0.044
-2.14e-03,-0.004
-2.13e-03,-0.068
-2.12e-03,0.108
-2.11e-03,0.028
-2.10e-03,-0.036
-2.09e-03,-0.02
-2.08e-03,0.028
-2.07e-03,0.012
-2.06e-03,0.132
-2.05e-03,-0.02
-2.04e-03,0.076
-2.03e-03,0.036
-2.02e-03,-0.02
-2.01e-03,-0.028
-2.00e-03,-0.004
-1.99e-03,-0.044
-1.98e-03,-0.068
-1.97e-03,-0.108
-1.96e-03,-0.02
-1.95e-03,0.148
-1.94e-03,0.012
-1.93e-03,-0.076
-1.92e-03,0.012
-1.91e-03,-0.06
-1.90e-03,0.1
-1.89e-03,0.028
-1.88e-03,0.012
-1.87e-03,-0.004
-1.86e-03,-0.06
-1.85e-03,0.004
-1.84e-03,-0.028
-1.83e-03,0.02
-1.82e-03,0.012
-1.81e-03,-0.02
-1.80e-03,0.012
-1.79e-03,0.004
-1.78e-03,-0.02
-1.77e-03,0.004
-1.76e-03,0.012
-1.75e-03,-0.084
-1.74e-03,-0.052
-1.73e-03,-0.004
-1.72e-03,-0.028
-1.71e-03,-0.02
-1.70e-03,-0.052
-1.69e-03,0.028
-1.68e-03,-0.1
-1.67e-03,0.036
-1.66e-03,0.052
-1.65e-03,-0.116
-1.64e-03,-0.028
-1.63e-03,-0.004
-1.62e-03,0.036
-1.61e-03,-0.092
-1.60e-03,0.108
-1.59e-03,-0.06
-1.58e-03,0.092
-1.57e-03,0.052
-1.56e-03,-0.028
-1.55e-03,-0.076
-1.54e-03,0.068
-1.53e-03,0.02
-1.52e-03,-0.004
-1.51e-03,0.084
-1.50e-03,-0.06
-1.49e-03,0.044
-1.48e-03,0.004
-1.47e-03,0.092
-1.46e-03,0.036
-1.45e-03,0.02
-1.44e-03,-0.02
-1.43e-03,-0.108
-1.42e-03,0.06
-1.41e-03,-0.1
-1.40e-03,0.052
-1.39e-03,0.092
-1.38e-03,0.012
-1.37e-03,0.012
-1.36e-03,-0.052
-1.35e-03,-0.052
-1.34e-03,0.092
-1.33e-03,-0.164
-1.32e-03,0.012
-1.31e-03,-0.052
-1.30e-03,0.06
-1.29e-03,-0.02
-1.28e-03,-0.012
-1.27e-03,0.068
-1.26e-03,-0.052
-1.25e-03,-0.02
-1.24e-03,-0.036
-1.23e-03,-0.028
-1.22e-03,0.004
-1.21e-03,0.06
-1.20e-03,-0.076
-1.19e-03,-0.02
-1.18e-03,-0.06
-1.17e-03,0.108
-1.16e-03,-0.02
-1.15e-03,0.012
-1.14e-03,-0.012
-1.13e-03,-0.124
-1.12e-03,-0.164
-1.11e-03,-0.044
-1.10e-03,0.012
-1.09e-03,0.036
-1.08e-03,-0.092
-1.07e-03,0.052
-1.06e-03,-0.02
-1.05e-03,-0.148
-1.04e-03,0.004
-1.03e-03,0.004
-1.02e-03,0.02
-1.01e-03,0.02
-1.00e-03,0.004
-9.90e-04,-0.18
-9.80e-04,-0.084
-9.70e-04,0.036
-9.60e-04,0.044
-9.50e-04,0.028
-9.40e-04,0.004
-9.30e-04,0.036
-9.20e-04,0.02
-9.10e-04,0.004
-9.00e-04,0.076
-8.90e-04,0.004
-8.80e-04,-0.02
-8.70e-04,0.06
-8.60e-04,0.044
-8.50e-04,-0.036
-8.40e-04,0.076
-8.30e-04,-0.076
-8.20e-04,0.076
-8.10e-04,-0.084
-8.00e-04,-0.1
-7.90e-04,0.004
-7.80e-04,0.012
-7.70e-04,-0.108
-7.60e-04,0.076
-7.50e-04,-0.092
-7.40e-04,0.028
-7.30e-04,-0.028
-7.20e-04,0.068
-7.10e-04,-0.084
-7.00e-04,0.076
-6.90e-04,-0.068
-6.80e-04,0.004
-6.70e-04,-0.092
-6.60e-04,-0.06
-6.50e-04,-0.044
-6.40e-04,-0.076
-6.30e-04,0.116
-6.20e-04,-0.004
-6.10e-04,-0.004
-6.00e-04,-0.068
-5.90e-04,-0.02
-5.80e-04,-0.036
-5.70e-04,-0.02
-5.60e-04,0.012
-5.50e-04,0.148
-5.40e-04,-0.052
-5.30e-04,-0.02
-5.20e-04,0.1
-5.10e-04,-0.004
-5.00e-04,0.028
-4.90e-04,-0.116
-4.80e-04,0.116
-4.70e-04,0.108
-4.60e-04,-0.028
-4.50e-04,-0.06
-4.40e-04,-0.012
-4.30e-04,-0.044
-4.20e-04,0.132
-4.10e-04,-0.004
-4.00e-04,-0.004
-3.90e-04,-0.124
-3.80e-04,0.076
-3.70e-04,-0.124
-3.60e-04,-0.036
-3.50e-04,0.004
-3.40e-04,0.092
-3.30e-04,-0.028
-3.20e-04,0.06
-3.10e-04,-0.084
