Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.001
Horizontal Delay,-0.0016
Sample Interval,1e-05
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Vertical Position,-0.02
,
,
,
Label,
TIME,CH2
-6.60e-03,-0.324
-6.59e-03,-0.324
-6.58e-03,-0.316
-6.57e-03,-0.308
-6.56e-03,-0.284
-6.55e-03,-0.276
-6.54e-03,-0.284
-6.53e-03,-0.268
-6.52e-03,-0.252
-6.51e-03,-0.252
-6.50e-03,-0.26
-6.49e-03,-0.244
-6.48e-03,-0.228
-6.47e-03,-0.212
-6.46e-03,-0.212
-6.45e-03,-0.212
-6.44e-03,-0.196
-6.43e-03,-0.204
-6.42e-03,-0.18
-6.41e-03,-0.172
-6.40e-03,-0.164
-6.39e-03,-0.172
-6.38e-03,-0.132
-6.37e-03,-0.124
-6.36e-03,-0.132
-6.35e-03,-0.108
-6.34e-03,-0.108
-6.33e-03,-0.084
-6.32e-03,-0.076
-6.31e-03,-0.084
-6.30e-03,-0.044
-6.29e-03,-0.06
-6.28e-03,-0.036
-6.27e-03,-0.044
-6.26e-03,-0.036
-6.25e-03,-0.004
-6.24e-03,0.004
-6.23e-03,0.004
-6.22e-03,0.012
-6.21e-03,0.028
-6.20e-03,0.02
-6.19e-03,0.052
-6.18e-03,0.044
-6.17e-03,0.06
-6.16e-03,0.06
-6.15e-03,0.084
-6.14e-03,0.092
-6.13e-03,0.108
-6.12e-03,0.108
-6.11e-03,0.108
-6.10e-03,0.124
-6.09e-03,0.132
-6.08e-03,0.14
-6.07e-03,0.148
-6.06e-03,0.164
-6.05e-03,0.172
-6.04e-03,0.172
-6.03e-03,0.204
-6.02e-03,0.196
-6.01e-03,0.212
-6.00e-03,0.228
-5.99e-03,0.244
-5.98e-03,0.236
-5.97e-03,0.252
-5.96e-03,0.252
-5.95e-03,0.252
-5.94e-03,0.268
-5.93e-03,0.268
-5.92e-03,0.284
-5.91e-03,0.3
-5.90e-03,0.316
-5.89e-03,0.316
-5.88e-03,0.316
-5.87e-03,0.34
-5.86e-03,0.324
-5.85e-03,0.34
-5.84e-03,0.364
-5.83e-03,0.364
-5.82e-03,0.364
-5.81e-03,0.388
-5.80e-03,0.372
-5.79e-03,0.388
-5.78e-03,0.396
-5.77e-03,0.388
-5.76e-03,0.404
-5.75e-03,0.396
-5.74e-03,0.412
-5.73e-03,0.428
-5.72e-03,0.436
-5.71e-03,0.452
-5.70e-03,0.436
-5.69e-03,0.444
-5.68e-03,0.444
-5.67e-03,0.46
-5.66e-03,0.452
-5.65e-03,0.468
-5.64e-03,0.468
-5.63e-03,0.476
-5.62e-03,0.452
-5.61e-03,0.492
-5.60e-03,0.484
-5.59e-03,0.476
-5.58e-03,0.484
-5.57e-03,0.508
-5.56e-03,0.492
-5.55e-03,0.5
-5.54e-03,0.508
-5.53e-03,0.484
-5.52e-03,0.508
-5.51e-03,0.516
-5.50e-03,0.492
-5.49e-03,0.508
-5.48e-03,0.516
-5.47e-03,0.516
-5.46e-03,0.516
-5.45e-03,0.508
-5.44e-03,0.508
-5.43e-03,0.516
-5.42e-03,0.516
-5.41e-03,0.5
-5.40e-03,0.508
-5.39e-03,0.516
-5.38e-03,0.5
-5.37e-03,0.508
-5.36e-03,0.508
-5.35e-03,0.516
-5.34e-03,0.524
-5.33e-03,0.508
-5.32e-03,0.5
-5.31e-03,0.516
-5.30e-03,0.516
-5.29e-03,0.508
-5.28e-03,0.508
-5.27e-03,0.492
-5.26e-03,0.492
-5.25e-03,0.484
-5.24e-03,0.484
-5.23e-03,0.476
-5.22e-03,0.484
-5.21e-03,0.468
-5.20e-03,0.468
-5.19e-03,0.468
-5.18e-03,0.468
-5.17e-03,0.468
-5.16e-03,0.468
-5.15e-03,0.452
-5.14e-03,0.444
-5.13e-03,0.46
-5.12e-03,0.46
-5.11e-03,0.444
-5.10e-03,0.428
-5.09e-03,0.428
-5.08e-03,0.436
-5.07e-03,0.42
-5.06e-03,0.412
-5.05e-03,0.396
-5.04e-03,0.396
-5.03e-03,0.38
-5.02e-03,0.38
-5.01e-03,0.372
-5.00e-03,0.38
-4.99e-03,0.372
-4.98e-03,0.364
-4.97e-03,0.348
-4.96e-03,0.34
-4.95e-03,0.356
-4.94e-03,0.34
-4.93e-03,0.324
-4.92e-03,0.308
-4.91e-03,0.3
-4.90e-03,0.292
-4.89e-03,0.308
-4.88e-03,0.284
-4.87e-03,0.276
-4.86e-03,0.276
-4.85e-03,0.268
-4.84e-03,0.26
-4.83e-03,0.244
-4.82e-03,0.244
-4.81e-03,0.244
-4.80e-03,0.228
-4.79e-03,0.204
-4.78e-03,0.204
-4.77e-03,0.18
-4.76e-03,0.164
-4.75e-03,0.172
-4.74e-03,0.156
-4.73e-03,0.156
-4.72e-03,0.148
-4.71e-03,0.14
-4.70e-03,0.116
-4.69e-03,0.108
-4.68e-03,0.108
-4.67e-03,0.084
-4.66e-03,0.1
-4.65e-03,0.068
-4.64e-03,0.06
-4.63e-03,0.052
-4.62e-03,0.028
-4.61e-03,0.036
-4.60e-03,0.02
-4.59e-03,0.012
-4.58e-03,0.004
-4.57e-03,-0.004
-4.56e-03,-0.004
-4.55e-03,-0.012
-4.54e-03,-0.036
-4.53e-03,-0.044
-4.52e-03,-0.052
-4.51e-03,-0.068
-4.50e-03,-0.06
-4.49e-03,-0.076
-4.48e-03,-0.084
-4.47e-03,-0.108
-4.46e-03,-0.124
-4.45e-03,-0.108
-4.44e-03,-0.132
-4.43e-03,-0.164
-4.42e-03,-0.132
-4.41e-03,-0.156
-4.40e-03,-0.164
-4.39e-03,-0.18
-4.38e-03,-0.204
-4.37e-03,-0.188
-4.36e-03,-0.204
-4.35e-03,-0.212
-4.34e-03,-0.22
-4.33e-03,-0.244
-4.32e-03,-0.236
-4.31e-03,-0.252
-4.30e-03,-0.252
-4.29e-03,-0.268
-4.28e-03,-0.276
-4.27e-03,-0.276
-4.26e-03,-0.284
-4.25e-03,-0.3
-4.24e-03,-0.292
-4.23e-03,-0.308
-4.22e-03,-0.3
-4.21e-03,-0.324
-4.20e-03,-0.332
-4.19e-03,-0.324
-4.18e-03,-0.34
-4.17e-03,-0.348
-4.16e-03,-0.356
-4.15e-03,-0.348
-4.14e-03,-0.356
-4.13e-03,-0.364
-4.12e-03,-0.38
-4.11e-03,-0.388
-4.10e-03,-0.396
-4.09e-03,-0.396
-4.08e-03,-0.396
-4.07e-03,-0.404
-4.06e-03,-0.412
-4.05e-03,-0.396
-4.04e-03,-0.412
-4.03e-03,-0.428
-4.02e-03,-0.436
-4.01e-03,-0.428
-4.00e-03,-0.444
-3.99e-03,-0.452
-3.98e-03,-0.46
-3.97e-03,-0.452
-3.96e-03,-0.452
-3.95e-03,-0.444
-3.94e-03,-0.468
-3.93e-03,-0.468
-3.92e-03,-0.46
-3.91e-03,-0.46
-3.90e-03,-0.484
-3.89e-03,-0.476
-3.88e-03,-0.492
-3.87e-03,-0.492
-3.86e-03,-0.492
-3.85e-03,-0.476
-3.84e-03,-0.492
-3.83e-03,-0.476
-3.82e-03,-0.484
-3.81e-03,-0.492
-3.80e-03,-0.476
-3.79e-03,-0.508
-3.78e-03,-0.492
-3.77e-03,-0.5
-3.76e-03,-0.5
-3.75e-03,-0.5
-3.74e-03,-0.492
-3.73e-03,-0.492
-3.72e-03,-0.492
-3.71e-03,-0.484
-3.70e-03,-0.492
-3.69e-03,-0.484
-3.68e-03,-0.492
-3.67e-03,-0.5
-3.66e-03,-0.484
-3.65e-03,-0.484
-3.64e-03,-0.476
-3.63e-03,-0.484
-3.62e-03,-0.468
-3.61e-03,-0.484
-3.60e-03,-0.468
-3.59e-03,-0.476
-3.58e-03,-0.468
-3.57e-03,-0.484
-3.56e-03,-0.468
-3.55e-03,-0.468
-3.54e-03,-0.476
-3.53e-03,-0.46
-3.52e-03,-0.452
-3.51e-03,-0.452
-3.50e-03,-0.46
-3.49e-03,-0.452
-3.48e-03,-0.452
-3.47e-03,-0.428
-3.46e-03,-0.428
-3.45e-03,-0.428
-3.44e-03,-0.436
-3.43e-03,-0.42
-3.42e-03,-0.404
-3.41e-03,-0.396
-3.40e-03,-0.404
-3.39e-03,-0.396
-3.38e-03,-0.38
-3.37e-03,-0.396
-3.36e-03,-0.388
-3.35e-03,-0.396
-3.34e-03,-0.38
-3.33e-03,-0.372
-3.32e-03,-0.356
-3.31e-03,-0.356
-3.30e-03,-0.332
-3.29e-03,-0.332
-3.28e-03,-0.332
-3.27e-03,-0.332
-3.26e-03,-0.316
-3.25e-03,-0.3
-3.24e-03,-0.292
-3.23e-03,-0.292
-3.22e-03,-0.292
-3.21e-03,-0.292
-3.20e-03,-0.284
-3.19e-03,-0.252
-3.18e-03,-0.276
-3.17e-03,-0.252
-3.16e-03,-0.244
-3.15e-03,-0.236
-3.14e-03,-0.244
-3.13e-03,-0.212
-3.12e-03,-0.212
-3.11e-03,-0.188
-3.10e-03,-0.18
-3.09e-03,-0.18
-3.08e-03,-0.172
-3.07e-03,-0.164
-3.06e-03,-0.164
-3.05e-03,-0.14
-3.04e-03,-0.132
-3.03e-03,-0.132
-3.02e-03,-0.116
-3.01e-03,-0.116
-3.00e-03,-0.1
-2.99e-03,-0.1
-2.98e-03,-0.084
-2.97e-03,-0.076
-2.96e-03,-0.068
-2.95e-03,-0.044
-2.94e-03,-0.02
-2.93e-03,-0.036
-2.92e-03,-0.02
-2.91e-03,-0.036
-2.90e-03,-0.004
-2.89e-03,0.012
-2.88e-03,0.012
-2.87e-03,0.012
-2.86e-03,0.036
-2.85e-03,0.044
-2.84e-03,0.036
-2.83e-03,0.068
-2.82e-03,0.068
-2.81e-03,0.076
-2.80e-03,0.076
-2.79e-03,0.092
-2.78e-03,0.108
-2.77e-03,0.108
-2.76e-03,0.116
-2.75e-03,0.14
-2.74e-03,0.132
-2.73e-03,0.156
-2.72e-03,0.164
-2.71e-03,0.18
-2.70e-03,0.188
-2.69e-03,0.196
-2.68e-03,0.204
-2.67e-03,0.22
-2.66e-03,0.212
-2.65e-03,0.244
-2.64e-03,0.252
-2.63e-03,0.252
-2.62e-03,0.26
-2.61e-03,0.276
-2.60e-03,0.284
-2.59e-03,0.276
-2.58e-03,0.316
-2.57e-03,0.308
-2.56e-03,0.308
-2.55e-03,0.324
-2.54e-03,0.34
-2.53e-03,0.348
-2.52e-03,0.34
-2.51e-03,0.348
-2.50e-03,0.348
-2.49e-03,0.356
-2.48e-03,0.372
-2.47e-03,0.372
-2.46e-03,0.404
-2.45e-03,0.38
-2.44e-03,0.404
-2.43e-03,0.396
-2.42e-03,0.42
-2.41e-03,0.42
-2.40e-03,0.404
-2.39e-03,0.42
-2.38e-03,0.428
-2.37e-03,0.428
-2.36e-03,0.428
-2.35e-03,0.452
-2.34e-03,0.468
-2.33e-03,0.444
-2.32e-03,0.468
-2.31e-03,0.468
-2.30e-03,0.476
-2.29e-03,0.46
-2.28e-03,0.492
-2.27e-03,0.484
-2.26e-03,0.46
-2.25e-03,0.5
-2.24e-03,0.484
-2.23e-03,0.492
-2.22e-03,0.492
-2.21e-03,0.5
-2.20e-03,0.5
-2.19e-03,0.492
-2.18e-03,0.5
-2.17e-03,0.5
-2.16e-03,0.516
-2.15e-03,0.492
-2.14e-03,0.5
-2.13e-03,0.516
-2.12e-03,0.5
-2.11e-03,0.516
-2.10e-03,0.508
-2.09e-03,0.5
-2.08e-03,0.508
-2.07e-03,0.508
-2.06e-03,0.524
-2.05e-03,0.524
-2.04e-03,0.516
-2.03e-03,0.516
-2.02e-03,0.516
-2.01e-03,0.508
-2.00e-03,0.516
-1.99e-03,0.524
-1.98e-03,0.492
-1.97e-03,0.516
-1.96e-03,0.508
-1.95e-03,0.5
-1.94e-03,0.5
-1.93e-03,0.492
-1.92e-03,0.508
-1.91e-03,0.476
-1.90e-03,0.492
-1.89e-03,0.484
-1.88e-03,0.476
-1.87e-03,0.484
-1.86e-03,0.46
-1.85e-03,0.46
-1.84e-03,0.46
-1.83e-03,0.468
-1.82e-03,0.46
-1.81e-03,0.444
-1.80e-03,0.452
-1.79e-03,0.444
-1.78e-03,0.444
-1.77e-03,0.436
-1.76e-03,0.428
-1.75e-03,0.412
-1.74e-03,0.436
-1.73e-03,0.404
-1.72e-03,0.42
-1.71e-03,0.396
-1.70e-03,0.404
-1.69e-03,0.396
-1.68e-03,0.388
-1.67e-03,0.388
-1.66e-03,0.38
-1.65e-03,0.372
-1.64e-03,0.356
-1.63e-03,0.364
-1.62e-03,0.356
-1.61e-03,0.324
-1.60e-03,0.324
-1.59e-03,0.316
-1.58e-03,0.316
-1.57e-03,0.308
-1.56e-03,0.3
-1.55e-03,0.284
-1.54e-03,0.276
-1.53e-03,0.268
-1.52e-03,0.268
-1.51e-03,0.268
-1.50e-03,0.244
-1.49e-03,0.236
-1.48e-03,0.236
-1.47e-03,0.228
-1.46e-03,0.196
-1.45e-03,0.204
-1.44e-03,0.188
-1.43e-03,0.196
-1.42e-03,0.188
-1.41e-03,0.172
-1.40e-03,0.156
-1.39e-03,0.148
-1.38e-03,0.14
-1.37e-03,0.14
-1.36e-03,0.124
-1.35e-03,0.1
-1.34e-03,0.084
-1.33e-03,0.076
-1.32e-03,0.076
-1.31e-03,0.068
-1.30e-03,0.06
-1.29e-03,0.06
-1.28e-03,0.028
-1.27e-03,0.02
-1.26e-03,0.02
-1.25e-03,0.02
-1.24e-03,0.012
-1.23e-03,-0.004
-1.22e-03,-0.012
-1.21e-03,-0.012
-1.20e-03,-0.028
-1.19e-03,-0.044
-1.18e-03,-0.068
-1.17e-03,-0.052
-1.16e-03,-0.084
-1.15e-03,-0.084
-1.14e-03,-0.092
-1.13e-03,-0.108
-1.12e-03,-0.108
-1.11e-03,-0.124
-1.10e-03,-0.14
-1.09e-03,-0.132
-1.08e-03,-0.156
-1.07e-03,-0.156
-1.06e-03,-0.172
-1.05e-03,-0.172
-1.04e-03,-0.188
-1.03e-03,-0.188
-1.02e-03,-0.22
-1.01e-03,-0.212
-1.00e-03,-0.22
-9.90e-04,-0.244
-9.80e-04,-0.244
-9.70e-04,-0.244
-9.60e-04,-0.244
-9.50e-04,-0.244
-9.40e-04,-0.276
-9.30e-04,-0.284
-9.20e-04,-0.276
-9.10e-04,-0.308
-9.00e-04,-0.324
-8.90e-04,-0.3
-8.80e-04,-0.316
-8.70e-04,-0.332
-8.60e-04,-0.348
-8.50e-04,-0.34
-8.40e-04,-0.34
-8.30e-04,-0.364
-8.20e-04,-0.372
-8.10e-04,-0.356
-8.00e-04,-0.356
-7.90e-04,-0.388
-7.80e-04,-0.38
-7.70e-04,-0.396
-7.60e-04,-0.388
-7.50e-04,-0.388
-7.40e-04,-0.396
-7.30e-04,-0.404
-7.20e-04,-0.436
-7.10e-04,-0.42
-7.00e-04,-0.428
-6.90e-04,-0.412
-6.80e-04,-0.428
-6.70e-04,-0.452
-6.60e-04,-0.428
-6.50e-04,-0.444
-6.40e-04,-0.46
-6.30e-04,-0.452
-6.20e-04,-0.452
-6.10e-04,-0.452
-6.00e-04,-0.468
-5.90e-04,-0.476
-5.80e-04,-0.452
-5.70e-04,-0.484
-5.60e-04,-0.46
-5.50e-04,-0.468
-5.40e-04,-0.476
-5.30e-04,-0.5
-5.20e-04,-0.484
-5.10e-04,-0.484
-5.00e-04,-0.492
-4.90e-04,-0.5
-4.80e-04,-0.484
-4.70e-04,-0.5
-4.60e-04,-0.508
-4.50e-04,-0.508
-4.40e-04,-0.492
-4.30e-04,-0.492
-4.20e-04,-0.5
-4.10e-04,-0.492
-4.00e-04,-0.5
-3.90e-04,-0.508
-3.80e-04,-0.5
-3.70e-04,-0.492
-3.60e-04,-0.492
-3.50e-04,-0.492
-3.40e-04,-0.492
-3.30e-04,-0.508
-3.20e-04,-0.5
-3.10e-04,-0.492
-3.00e-04,-0.492
-2.90e-04,-0.5
